player_id;dorsal;Player;position;Squad;MP;Starts;Min;Gls;Ast;CrdY;CrdR
5964;3;Arsène Auguste;DF;Haiti;2;2;180;0;;0;0
5965;4;Fritz André;DF;Haiti;1;1;36;0;;0;0
5966;5;Serge Ducosté;DF;Haiti;1;1;90;0;;0;0
5967;6;Pierre Bayonne;DF;Haiti;3;3;270;0;;2;0
5968;13;Serge Racine;DF;Haiti;2;1;135;0;;0;0
5969;14;Wilner Nazaire ;DF;Haiti;3;3;204;0;;0;0
5970;19;Jean-Herbert Austin;DF;Haiti;0;0;0;0;;0;0
5971;21;Wilfried Louis;DF;Haiti;1;1;90;0;;0;0
5972;7;Philippe Vorbe;MF;Haiti;3;3;270;0;;0;0
5973;8;Jean-Claude Désir;MF;Haiti;3;3;270;0;;0;0
5974;9;Eddy Antoine;MF;Haiti;3;3;270;0;;0;0
5975;10;Guy François;MF;Haiti;2;2;180;0;;0;0
5976;12;Ernst Jean-Joseph;MF;Haiti;1;1;90;0;;0;0
5977;17;Joseph-Marion Leandré;MF;Haiti;1;0;66;0;;0;0
5978;11;Guy Saint-Vil;FW;Haiti;2;2;96;0;;0;0
5979;15;Roger Saint-Vil;FW;Haiti;1;1;45;0;;0;0
5980;16;Fritz Leandré;FW;Haiti;1;0;39;0;;1;0
5981;18;Claude Barthélemy;FW;Haiti;2;0;99;0;;0;0
5982;20;Emmanuel Sanon;FW;Haiti;3;3;270;2;;0;0
5392;1;Dino Zoff;GK;Italy;3;3;270;0;;0;0
5983;12;Enrico Albertosi;GK;Italy;0;0;0;0;;0;0
5984;22;Luciano Castellini;GK;Italy;0;0;0;0;;0;0
5985;2;Luciano Spinosi;DF;Italy;0;0;0;0;;0;0
5986;3;Giacinto Facchetti ;DF;Italy;3;3;270;0;;0;0
5987;5;Francesco Morini;DF;Italy;3;3;245;0;;0;0
5988;6;Tarcisio Burgnich;DF;Italy;3;3;212;0;;0;0
5989;13;Giuseppe Sabadini;DF;Italy;0;0;0;0;;0;0
5661;14;Mauro Bellugi;DF;Italy;0;0;0;0;;0;0
5990;15;Giuseppe Wilson;DF;Italy;2;0;83;0;;0;0
5665;4;Romeo Benetti;MF;Italy;3;3;270;1;;1;0
5991;7;Sandro Mazzola;MF;Italy;3;3;270;0;;0;0
5992;8;Fabio Capello;MF;Italy;3;3;270;1;;0;0
5993;10;Gianni Rivera;MF;Italy;2;2;155;1;;0;0
5994;16;Antonio Juliano;MF;Italy;0;0;0;0;;0;0
5995;17;Luciano Re Cecconi;MF;Italy;3;3;270;0;;0;0
5399;18;Franco Causio;MF;Italy;2;1;115;0;;0;0
5996;9;Giorgio Chinaglia;FW;Italy;2;2;114;0;;0;0
5997;11;Gigi Riva;FW;Italy;2;2;180;0;;0;0
