player_id,world_cup_year,team,club,country_club
181,2018,Costa Rica,Saprissa,Costa Rica
181,2022,Costa Rica,Alajuelense,Costa Rica
182,2022,Costa Rica,Herediano,Costa Rica
183,2018,Croatia,Dinamo Zagreb,Croatia
183,2022,Croatia,Dinamo Zagreb,Croatia
184,2022,Croatia,Osijek,Croatia
185,2022,Croatia,Atletico Madrid,Spain
186,2014,Croatia,Dynamo Kyiv,Ukraine
186,2018,Croatia,Besiktas,Turkey
186,2022,Croatia,AEK Athens,Greece
187,2014,Croatia,Southampton,England
187,2018,Croatia,Liverpool,England
187,2022,Croatia,Zenit Saint Petersburg,Russia
188,2022,Croatia,Rangers,Scotland
189,2022,Croatia,Celtic,Scotland
190,2022,Croatia,Stuttgart,Germany
191,2022,Croatia,RB Leipzig,Germany
192,2022,Croatia,Bayern Munich,Germany
193,2022,Croatia,Sassuolo,Italy
194,2022,Croatia,Dinamo Zagreb,Croatia
195,2014,Croatia,Real Madrid,Spain
195,2018,Croatia,Real Madrid,Spain
195,2022,Croatia,Real Madrid,Spain
196,2014,Croatia,Internazionale,Italy
196,2018,Croatia,Real Madrid,Spain
196,2022,Croatia,Chelsea,England
197,2014,Croatia,Dinamo Zagreb,Croatia
197,2018,Croatia,Internazionale,Italy
197,2022,Croatia,Internazionale,Italy
198,2022,Croatia,Atalanta,Italy
199,2022,Croatia,Torino,Italy
200,2022,Croatia,Rennes,France
201,2022,Croatia,Eintracht Frankfurt,Germany
202,2022,Croatia,Red Bull Salzburg,Austria
203,2014,Croatia,VfL Wolfsburg,Germany
203,2018,Croatia,Internazionale,Italy
203,2022,Croatia,Tottenham,England
204,2018,Croatia,Hoffenheim,Germany
204,2022,Croatia,Hoffenheim,Germany
205,2022,Croatia,Dinamo Zagreb,Croatia
206,2022,Croatia,Dinamo Zagreb,Croatia
207,2022,Croatia,Osasuna,Spain
208,2022,Croatia,Hajduk Split,Croatia
209,2018,Denmark,Leicester City,England
209,2022,Denmark,Nice,France
210,2022,Denmark,Hertha Berlin,Germany
211,2018,Denmark,Brondby,Denmark
211,2022,Denmark,Union Berlin,Germany
212,2010,Denmark,Palermo,Italy
212,2018,Denmark,Sevilla,Spain
212,2022,Denmark,AC Milan,Italy
213,2018,Denmark,Chelsea,England
213,2022,Denmark,Barcelona,Spain
214,2018,Denmark,Udinese,Italy
214,2022,Denmark,Trabzonspor,Turkey
215,2022,Denmark,Brondby,Denmark
216,2022,Denmark,Leeds United,England
217,2022,Denmark,Atalanta,Italy
218,2022,Denmark,Crystal Palace,England
219,2018,Denmark,Werder Bremen,Germany
219,2022,Denmark,Sevilla,Spain
220,2022,Denmark,Galatasaray,Turkey
221,2022,Denmark,Benfica,Portugal
222,2010,Denmark,Ajax,Netherlands
222,2018,Denmark,Tottenham,England
222,2022,Denmark,Manchester United,England
223,2022,Denmark,Brentford,England
224,2022,Denmark,Tottenham,England
225,2022,Denmark,Brentford,England
226,2022,Denmark,Hoffenheim ,Germany
227,2018,Denmark,Bordeaux,France
227,2022,Denmark,Espanyol,Spain
228,2018,Denmark,Atalanta,Italy
228,2022,Denmark,Copenhagen,Denmark
229,2018,Denmark,Ajax,Netherlands
229,2022,Denmark,Sevilla,Spain
230,2022,Denmark,Club Brugge,Belgium
231,2022,Denmark,Brentford,England
232,2022,Denmark,Wolfsburg,Germany
233,2022,Denmark,Eintracht Frankfurt,Germany
234,2022,Denmark,RB Leipzig,Germany
235,2022,Ecuador ,Aucas,Ecuador
236,2022,Ecuador ,Independiente del Valle,Ecuador
237,2022,Ecuador ,LDU Quito,Ecuador
238,2022,Ecuador ,Santos Laguna,Mexico
239,2022,Ecuador ,Bayer Leverkusen,Germany
240,2022,Ecuador ,Sao Paulo,Brazil
241,2022,Ecuador ,Antwerp,Belgium
242,2022,Ecuador ,Brighton,England
243,2022,Ecuador ,Seattle Sounders FC,USA
244,2022,Ecuador ,Genk,Belgium
245,2022,Ecuador ,Los Angeles FC,USA
246,2022,Ecuador ,Troyes,France
247,2022,Ecuador ,Los Angeles FC,USA
248,2014,Ecuador, VfB Stuttgart,Germany
248,2022,Ecuador ,Augsburg,Germany
249,2022,Ecuador ,Leon,Mexico
250,2022,Ecuador ,Brighton,England
251,2022,Ecuador ,Real Valladolid,Spain
